"key","en","ru"
"Lumberjack_Axe_desc","+25 to Physical damage and -30% to Physical protection","+25 к Физическому Урону и -30% к Физической Защите"
"Axe_of_the_Dread","Axe of the Dread","Топор Ужаса"
"Axe_of_the_Dread_desc","+27 to Physical damage and -35% to Physical protection","+27 к Физическому Урону и -35% к Физической Защите"
"Executioner_Axe","Executioner Axe","Топор Палача"
"Executioner_Axe_desc","+32 to Physical damage and -40% to Physical protection","+32 к Физическому Урону и -40% к Физической Защите"
"Greataxe","Greataxe","Секира"
"Greataxe_desc","+10 to Physical damage and -20% to Physical protection","+10 к Физическому Урону и -20% к Физической Защите"
"Hammer_Of_Apostasy","Hammer Of Apostasy","Молот Отступника"
"Hammer_Of_Apostasy_desc","+45 Physical Damage. ","+45 к Физическому Урону"
"Military_Crossbow","Military Crossbow","Солдатский арбалет"
"Military_Crossbow_desc","+10 Physical Damage","+10 к Физическому Урону"
"Darkwood_Crossbow","Darkwood Crossbow","Арбалет из темного дерева"
"Darkwood_Crossbow_desc","+16 Physical Damage","+16 к Физическому Урону"
"Impact_Crossbow","Impact Crossbow","Ударный арбалет"
"Impact_Crossbow_desc","+24Physical Damage","+24 к Физическому Урону"
"Heavy_crossbow","Heavy crossbow","Тяжелый арбалет"
"Heavy_crossbow_desc","+6 Physical Damage","+6 к Физическому Урону"
"Yew_Bow","Yew Bow","Ясеневый лук"
"Yew_Bow_desc","+9 Physical Damage","+9 к Физическому Урону"
"Goblin_Bow","Goblin Bow","Гоблинский лук"
"Goblin_Bow_desc","+14 Physical Damage","+14 к Физическому Урону"
"Nomad_Bow","Nomad Bow","Лук кочевника"
"Nomad_Bow_desc","+19 Physical Damage","+19 к Физическому Урону"
"Heartseeker","Heartseeker","Ищущий Сердца"
"Heartseeker_desc","+22 Physical Damage. ","+22 к Физическому Урону"
"Jaeger_bow_","Jaeger bow ","Снайперский лук"
"Jaeger_bow__desc","+4 Physical Damage","+4 к Физическому Урону"
"Kunai_of_true_Ninja","Kunai of true Ninja","Кунай настоящего ниндзя"
"Kunai_of_true_Ninja_desc","+1 Physical Damage and +10% Physical Protection","+1 к Физическому Урону и +10% к Физической Защите"
"Footman's_Sword","Footman's Sword","Меч пехотинца"
"Footman's_Sword_desc","+10 Physical Damage","+10 к Физическому Урону"
"Zweihander","Zweihander","Цвайхандер"
"Zweihander_desc","+14 Physical Damage","+14 к Физическому Урону"
"Knight's_Sword","Knight's Sword","Меч рыцаря"
"Knight's_Sword_desc","+20 Physical Damage","+20 к Физическому Урону"
"Longsword","Longsword","Длинный меч"
"Longsword_desc","+8 Physical Damage","+8 к Физическому Урону"
"Heavy_Mace","Heavy Mace","Тяжелая булава"
"Heavy_Mace_desc","+12 Physical Damage","+12 к Физическому Урону"
"Thunderous_Mace","Thunderous Mace","Громобойная булава"
"Thunderous_Mace_desc","+16 Physical Damage","+16 к Физическому Урону"
"Commander's_Mace","Commander's Mace","Капитанская булава"
"Commander's_Mace_desc","+20 Physical Damage","+20 к Физическому Урону"
"Warlord's_Mace","Warlord's Mace","Булава Полковдца"
"Warlord's_Mace_desc","+26 Physical Damage","+26 к Физическому Урону"
"Perfectly_Balanced_Sword","Perfectly Balanced Sword","Идеально сбалансированный меч"
"Perfectly_Balanced_Sword_desc","+16 Physical Damage","+16 к Физическому Урону"
"Quarterstaff","Quarterstaff","Боевой посох"
"Quarterstaff_desc","+8 Physical Damage","+8 к Физическому Урону"
"Infected_Blade","Infected Blade","Зараженный меч"
"Infected_Blade_desc","+6 Physical Damage","+6 к Физическому Урону"
"Disease_Blade","Disease Blade","Меч болезней"
"Disease_Blade_desc","+8 Physical Damage","+8 к Физическому Урону"
"Plague_Blade","Plague Blade","Чумной меч"
"Plague_Blade_desc",""," "
"Warhammer","Warhammer","Боевой молот"
"Warhammer_desc","+17 Physical Damage","+17 к Физическому Урону"
"Ancient_Hammer","Ancient Hammer","Древний молот"
"Ancient_Hammer_desc","+30 Physical Damage","+30 к Физическому Урону"
"Giant's_Hammer","Giant's Hammer","Молот гигантов"
"Giant's_Hammer_desc","+35 Physical Damage","+35 к Физическому Урону"
"Smith_Hammer","Smith Hammer","Молот кузнеца"
"Smith_Hammer_desc","+14 Physical Damage","+14 к Физическому Урону"
"Staff_of_Curses","Staff of Curses","Посох проклятий "
"Staff_of_Curses_desc","+3 Physical Damage +3 Magic Damage","+3 к Физическому Урону, +3 к Магическому урону"
"Staff_of_Undead_Command","Staff of Undead Command","Посох мертвых"
"Staff_of_Undead_Command_desc","+4 Physical Damage +4 Magic Damage","+4 к Физическому Урону, +4 к Магическому урону"
"Staff_of_Negative_Energy","Staff of Negative Energy","Посох негативной энергии"
"Staff_of_Negative_Energy_desc","+5 Physical Damage +5 Magic Damage","+5 к Физическому Урону, +5 к Магическому урону"
"Staff_of_Necromancer","Staff of Necromancer","Посох Некроманта"
"Staff_of_Necromancer_desc","+6 Physical Damage +6 Magic Damage","+6 к Физическому Урону, +6 к Магическому урону"
"Staff_of_Death","Staff of Death","Посох смерти"
"Staff_of_Death_desc","+2 Physical Damage +2 Magic Damage","+2 к Физическому Урону, +2 к Магическому Урону"
"Staff_of_Firestorm","Staff of Firestorm","Посох огненного шторма"
"Staff_of_Firestorm_desc","+4 Magic Damage","+4 к Магическому Урону"
"Staff_of_Burning","Staff of Burning","Посох горения"
"Staff_of_Burning_desc","+6 Magic Damage","+6 к Магическому Урону"
"Staff_of_Disintegration","Staff of Disintegration","Посох дезинтеграции"
"Staff_of_Disintegration_desc","+8 Magic Damage","+8 к Магическому Урону"
"Staff_of_Incineration","Staff of Incineration","Посох Испепеления"
"Staff_of_Incineration_desc","+12 Magic Damage","+12 к Магическому Урону"
"Staff_of_Blizzard","Staff of Blizzard","Посох метели"
"Staff_of_Blizzard_desc","+8 Magic Damage","+8 к Магическому Урону"
"Staff_of_Storm","Staff of Storm","Посох бурь"
"Staff_of_Storm_desc","+12 Magic Damage","+12 к Магическому Урону"
"Staff_of_Frost","Staff of Frost","Посох мороза"
"Staff_of_Frost_desc","+20 Magic Damage","+20 к Магическому Урону"
"Staff_of_ice_hell","Staff of ice hell","Посох ледяного ада"
"Staff_of_ice_hell_desc","+24 Magic Damage","+24 к Магическому Урону"
"Staff_of_ice","Staff of ice","Посох льда"
"Staff_of_ice_desc","+4 Magic Damage","+4 к Магическому Урону "
"Staff_of_Grass","Staff of Grass","Посох трав"
"Staff_of_Grass_desc","+8 Magic Damage","+8 к Магическому Урону"
"Staff_of_Treant","Staff of Treant","Посох трента"
"Staff_of_Treant_desc","+12 Magic Damage","+12 к Магическому Урону"
"Staff_of_Nature_Warden","Staff of Nature Warden","Посох стража природы"
"Staff_of_Nature_Warden_desc","+16 Magic Damage","+16 к Магическому Урону"
"Staff_of_Driud","Staff of Driud","Посох друида"
"Staff_of_Driud_desc","+18 Magic Damage","+18 к Магическому Урону"
"Staff_of_natural_wrath","Staff of natural wrath","Посох гнева природы"
"Staff_of_natural_wrath_desc","+4 Physical Damage","+4 к Магическому Урону"
"Staff_of_fire","Staff of fire","Посох огня"
"Staff_of_fire_desc","+10 Magical Damage","+10 к Магическому Урону"
"Rusty_Sword","Rusty Sword","Ржавый меч"
"Rusty_Sword_desc","+4 Physical Damage","+4 к Физическому Урону"
"Triple_Crossbow","Triple Crossbow","Тройной арбалет"
"Triple_Crossbow_desc","+24 Damage. Genious tinkerer created this crossbow. Rapid shot!","+24 к Физическому Урону. Гениальный изобретатель создал этот арбалет. Скорострельность!"
"_Green_Gem"," Green Gem","Изумруд"
"_Green_Gem_desc",""," "
"Old_Page","Old Page","Истлевшая страница"
"Old_Page_desc",""," "
"Orange_Gem","Orange Gem","Опал"
"Orange_Gem_desc",""," "
"Red_Gem","Red Gem","Рубин"
"Red_Gem_desc",""," "
"Berserk","Berserk","Берсерк"
"Berserk_desc","Your rage gives you immunity to Physical damage!  -Duration: 10 seconds  -Cooldown: 10 seconds","Ярость дает вам иммунитет к Физическому Урону!  -Длительность: 10 секунд  -Откат: 10 секунд"
"Dash","Dash","Рывок"
"Dash_desc","Rush towards your enemies with the great speed!  -Damage: Strength + Weapon Damage (Physical damage)  -Cooldown: 5 Sec","Врывайтесь в ряды врагов с ужасающей скоростью  -Урон: Телосложение + Физический Урон  -Откат: 5 секунд"
"Fire_Ball","Fire Ball","Огненный шар"
"Fire_Ball_desc","Cast Fire Ball that hits current target  -Damage: INT * 1 (Magical damage)  -Cooldown: 3 Sec","Создает огненный шар, поражающий текущую цель.  -Урон: ИНТ * 1(Маг Урон)  -Откат: 5 секунд"
"Fire_Shield","Fire Shield","Огненный щит"
"Fire_Shield_desc","Creates Fire Shield that burns nearby enemies  -Damage: INT * 1 (Magical damage)  -Duration: 5 sec  -Cooldown: 8 Sec","Уравнение создает щит из огня, сжигающий врагов поблизости  Длительность: 5 секунд  -Откат: 8 секунд"
"Fire_trap","Fire trap","Огненная ловушка"
"Fire_trap_desc","Creates Fire Pentagram that burns your enemies down  -Damage: INT * 1 (Magical damage)  -Cooldown: 10 Sec","Уравнение создает магический пентакль, сжигающий ваших врагов  -Урон: Интеллект * 1  -Откат: 10 секунд"
"Recklessness","Recklessness","Безрассудство"
"Recklessness_desc","Increases your damage, and decreases your protection  -Duration: 10 sec  -Cooldown: 10 sec","Повышает ваш Урон, снижая Защиту  -Длительность: 10 секунд  -Откат: 10 секунд"
"Windblow","Windblow","Порыв ветра"
"Windblow_desc","Knock back your enemies!","Отталкивает противников перед вами!"
"Backstab","Backstab","Удар в спину"
"Backstab_desc","-Increases Crit Chance by 5*LVL(Agility)  -Increases Crit Damage by 10*LVL(Agility)  - Duration: 5 seconds  -Cooldown: 10 seconds","-Увеличивает Крит Шанс на 5*Ловкость  -Увеличивает Крит Урон на 10*Ловкость  -Длительность: 5 секунд  -Откат: 10 секунд"
"Poisoned_stab","Poisoned stab","Ядовитый клык"
"Poisoned_stab_desc","Hits the nearby target with the Poison Level 2  -Cooldown: 15 seconds","Каждый удар накладывает на врагов Яд второго ранга  -Откат: 15 секунд"
"Repulsive_Feint","Repulsive Feint","Отталкивающий финт"
"Repulsive_Feint_desc","Knock you enemies away on the short distance.  -Cooldown: 7.5 Seconds","Вы отбрасываете врагов назад ударом ноги  -Откат: 7.5 секунд"
"Major_Contract","Major Contract", "Основная задача"
"Major_Contract_desc","Try to Kill the Daddy Boss", "Убейте Папашку"
"Range_Kill_Contract","Range Kill Contract", "Контракт на уничтожение: дальнобойное оружие"
"Range_Kill_Contract_desc","Kill 10 enemies with Bow", "Убейте 10 врагов из лука или арбалета"
"Magic_Kill_Contract","Magic Kill Contract", "Контракт на уничтожение: магия"
"Magic_Kill_Contract_desc","Kill 10 enemies using magic", "Убейте 10 врагов при помощи магии"
"Mele_Kill_Contract","Mele Kill Contract", "Контракт на уничтожение: ближний бой"
"Mele_Kill_Contract_desc","Kill 10 enemies with mele weapon", "Убейте 10 врагов из оружия ближнего боя"
"Absent","Absent","Рассеяный"
"Absent_desc","You constantly lose things and forget important names. You're not stupid, but just a little inattentive. Are you remember why did you come here at all?","Вы постоянно теряете вещи и забываете важные имена. Вы не глупый, нет, просто немного невнимательный. А зачем вы вообще сюда пришли?"
"Absent_brief_desc","Resistance to confusion is 50% less","Сопротивление замешательству меньше на 50%"
"Addicted","Addicted","Наркоман"
"Addicted_desc","Gurzune dust, horn-weed, aether, dwarven mushroom - you've tried it all, and more than once. Now you have great tolerance to toxic substances. However, there is a downside - alchemical potions no longer have an effect on you. Except for a little relaxation.","Пыльца гурзуна, горн-трава, эфир, дварфийский гриб. Вы все это попробовали, и не по одному разу. Теперь вы настоящая выставка толерантностей к ядовитым веществам. Однако есть и обратная сторона - алхимические зелья больше на оказывают на вас эффекта. Если не брать в расчет небольшое расслабление."
"Addicted_brief_desc","Potions and poison effect do not affect you","Зелья и яды не действуют на вас"
"Beaten_As_A_Child","Beaten As A Child","Избивали в детстве"
"Beaten_As_A_Child_desc","You were a pucnhing bag for practicing the blows of your peers. The bruises are gone, the bruises are healed, and now you're hardened like steel, and you can't be beaten by such things."," Вы были настоящим "снарядом" для отработки ударов ваших сверстников. Синяки ушли, ссадины зажили, но теперь вы закалены как сталь, и такими штучками вас не проймешь."
"Beaten_As_A_Child_brief_desc","+5 HP","+5 ОЗ"
"Cant_Shoot","Cant Shoot","Не имеет восприятия глубины"
"Cant_Shoot_desc","The objects may be closer to you than they appear. Going down the stairs is hell for you, and you can forget about shooting and throwing - you still won't hit anyone","Объекты для вас могут быть ближе, чем они кажутся. Спускаться по лестнице - для вас сущий ад, а о стрельбе и метании можно забыть - все равно вы ни в кого не попадете."
"Cant_Shoot_brief_desc","You can't use range weapons (bows and crossbows)","Вы не можете использовать дальнобойное оружие (луки и арбалеты)"
"Cloak","Cloak","Магическая ткань"
"Cloak_desc","The formula for the perfectly calculated resonance of enchantments on clothed armor has fallen into your grasping hands. The main thing, do not forget - most of time the damage is physical.","В ваши загребущие руки попала формула идеально вычисленного резонанса чар на тканевые доспехи. Главное, не забывайте - урон-то физический епта."
"Cloak_brief_desc"," Magic protection increased by 20%","Магическая Защита меньше на 20%"
"Clumsy","Clumsy","Неповоротливый"
"Clumsy_desc","Someone eats too much, you were told, but you didn't listen. Now you can barely get up from your chair, and the goblins and ogres won't wait for you to unwrap your carcass.","Кто-то слишком много ест, говорили вам, но вы не слушали. Теперь вы с трудом можете встать со стула, а ведь гоблины и огры не будут ждать, пока вы развернете свою тушу."
"Clumsy_brief_desc","Dodge chance is less by 50%","Шанс уворота меньше на 50%"
"Coagulation_Disorder","Coagulation Disorder","Нарушения коагуляции"
"Coagulation_Disorder_desc","Any injury or bruise is extremely dangerous for you, because the bleeding won't stop. Be careful, and stay away from sharp objects.","Любой синяк и ссадина для вас чрезвычайно опасны, ведь кровотечение не остановится. Будьте аккуратны, и держитесь подальше от колюще-режущих предметов."
"Coagulation_Disorder_brief_desc","Resistance to bleed is less by 50%","сопротивление «кровотечению» меньше на 50%"
"Concentrated","Concentrated","Сконцентрированный"
"Concentrated_desc","In any case, attitude and concentration are important. Take a deep breath, forget about everything, and just do your job."," В любом деле важен настрой и сосредоточение. Вдохните поглубже, забудьте обо всем и просто делайте свою работу."
"Concentrated_brief_desc","+50% stamina","На 50% больше выносливости "
"Dense_Blood","Dense Blood","Густая кровь"
"Dense_Blood_desc","You have an overabundance of some substances in your blood, so it is thicker than usual. Drink more liquid!"," У вас переизбыток каких-то веществ в крови, так что она гуще чем обычно. Пейте больше жидкости!"
"Dense_Blood_brief_desc","Resistance to "bleed" is 50% more","сопротивление «кровотечению» больше на 50%"
"Doesn`t_Know_Numbers","Doesn`t Know Numbers","Не знает цифр"
"Doesn`t_Know_Numbers_desc","You can only trade if you are shown the amount on your fingers. With this level of knowledge, you can forget about magic. You won't even be able to adjust the focus!","Вы можете торговать только если вам покажут сумму на пальцах. С таким уровнем знаний, о магии можно забыть, вы даже фокус не сможете настроить."
"Doesn`t_Know_Numbers_brief_desc","You can't use magic staves and equations","не может использовать уравнения и посохи"
"Dystrophic","Dystrophic","Дистрофик"
"Dystrophic_desc","You're not very strong. To be honest, you are very, very weak. You were called weakling, wuss or softy, however you were able to survive in this cruel world with your mental powers or incredible dexterity. Use your STRENGHTES wisely.","Вы не очень сильный. Вас называли слабаком, дрыщом или рохлей, но вы смогли продержаться в этом суровом мире при помощи силы ума или невероятной ловкости. Используйте свои СИЛЬНЫЕ стороны грамотно."
"Dystrophic_brief_desc","Strenght always 0","Телосложение всегда 0 "
"Eagle_Eye","Eagle Eye","Орлиный глаз "
"Eagle_Eye_desc","You trampled several pairs of boots in the service of the Inpolis Crossbow Regiment. You can shoot down an arrow with a bolt on the fly, hit a moving target from a distance of more than 600 meters, and you are forced to wash the floors! Well, where is this seen!","Вы истоптали несколько пар сапогов на службе в арбалетном полку Инполиса. Вы можете сбить стрелу болтом на лету, попасть в движущуюся мишень с расстояния более 600 метров, а вас заставляют мыть полы! Ну где это видано!"
"Eagle_Eye_brief_desc","Crossbows do 50% more damage","Арбалеты наносят на 50% больше урона "
"Expanded_Mind","Expanded Mind","Расширил сознание"
"Expanded_Mind_desc","You have skillfully combined magic and psychoactive substances. Now you have like two brains. At least, that's what you think.","Вы умело объединили магию и психоактивные вещества. Теперь у вас как бы два мозга. По крайней мере вам так кажется."
"Expanded_Mind_brief_desc","+10 Mana","+10 ОМ"
"Five_Head","Five Head","5Head"
"Five_Head_desc","Learning magic was relatively easy for you and even the archmage himself claimed that you had talent.","Обучение магии давалось вам сравнительно легко, и даже сам архимаг заявил, что у вас есть талант."
"Five_Head_brief_desc","+10 MP","Имеет на 50% больше ОМ"
"Flaiming_Heart","Flaiming Heart","Пылающее сердце"
"Flaiming_Heart_desc","You have the blood of a true fire elemental in your veins! You are excessively hot-tempered and your body temperature is a couple degrees higher.","В ваших жилах течет кровь настоящего огненного элементаля! Вы излишне вспыльчивы и температура тела у вас на пару градусов повыше."
"Flaiming_Heart_brief_desc","resistance to freeze is 50% more","Сопротивление заморозке больше на 50% "
"Fragile","Fragile","Хрупкий"
"Fragile_desc","Your bones are very fragile. Any blow breaks them, causing you terrible suffering. Why did you even decide on such a dangerous contract?!","У вас очень хрупкие кости. Любой удар ломает их, причиняя вам жуткие страдания. Зачем вы вообще решились на такой опасный контракт?!"
"Fragile_brief_desc","-50% HP","-50% ОЗ"
"Hunter","Hunter","Охотник"
"Hunter_desc","Poaching is a serious crime, but it didn't bother you, and hunting fed you and your entire family until the Lords decided to send special squads to search for your kind. One of them caught you, and you barely managed to get out of the hanging. Now you are looking for another way to make money.","Браконьерство - серьезное преступление, но вас это не беспокоит. Охота кормила вас, и всю вашу семью, пока Лорды не решили отправлять летучие отряды на поиски таких как вы. Один из таких вас и поймал, вы едва смогли отмазаться от повешения. Теперь вы ищете другой способ зарабатывать."
"Hunter_brief_desc","Bows do 50% more damage","Луки наносят на 50% больше Урона"
"Idiot","Idiot","Слабоумный"
"Idiot_desc","You have learned to count using your five fingers, but you still haven't mastered reading. It doesn't matter had you a head injury, or a birth, defect, or maybe a curse, the fact is smartness is not your strong point.","Вы научились считать до пяти, используя пальцы на руках, однако чтение вам так и не далось. Неважно, была у вас травма головы, или врожденный дефект, а быть может и проклятие, лежащее на вашем роде, факт остается фактом, сообразительность - не ваш конёк."
"Idiot_brief_desc","Intellegence always 0","Интеллект всегда 0"
"Immunodeficiency","Immunodeficiency","Имуннодефицит"
"Immunodeficiency_desc","You were careless, and you caught an infection that weakened your immunity. Don't worry, it won't change your life much. Just dress warmly and try not to catch a cold.","Вы были неаккуратны, и подхватили заразу, которая ослабила ваш иммунитет. Не волнуйтесь, с этим живут и очень даже неплохо. Просто одевайтесь теплее и старайтесь не простудиться."
"Immunodeficiency_brief_desc","Resistance to "poison" is 50% less","Сопротивление яду на 50% меньше"
"Injured_Hands","Injured Hands","Травмированные руки"
"Injured_Hands_desc","There wasn't enough money for magic treatment, so you just construct simple splints and began to pray. It didn't help."," Ваши руки раздробило в кашу. На магическое лечение не хватило денег, так что вы просто соорудили простые шины и стали молиться. Не помогло."
"Injured_Hands_brief_desc","You can't use melee weapons","Вы не можете использовать оружие ближнего боя"
"Lame","Lame","Хромой"
"Lame_desc","You used to be an adventurer or something, but then you took an arrow in the knee. A sad story. Why i hear it for tenth time?","Вас вела какая-то дорога, но потом вам прострелили колено. Грустная история. И почему я слышу ее уже десятый раз?"
"Lame_brief_desc","Speed decreased by 50%","Скорость меньше на 50%"
"Loan","Loan","Взял кредит"
"Loan_desc","So, if the entire amount is returned within a month, then you will get an overpayment of one hundred gold, if within two or three thousand, wait,wait... You realized too late that you were swindled, but the money is still in your pocket, which means you can do something! Hurry up, because the debt collectors are already coming for you...","Так, если всю сумму вернуть в течение месяца, то получится переплата в сто золотых, если в течение двух - три тысячи, падажжи... Вы слишком поздно осознали, что вас надули, но деньги все еще в кармане, а значит можно что-то придумать! Поспешите, ведь коллекторы уже идут за вами..."
"Loan_brief_desc","Start with 500 gold","Начинает с 500 золота"
"Mad","Mad","Бешеный"
"Mad_desc","You were recently released from prison, where you were unfairly serving time on a charge of triple murder with extreme cruelty. Wait, was it really you?! Stop! Wait! Please, have mercy!","Вас недавно выпустили из тюрьмы, в который вы несправедливо отбывали срок по обвинению в тройном убийстве с особой жестокостью. Стоп, неужели это действительно был ты?! Стой! Подожди! Прошу, пощади!"
"Mad_brief_desc","+150% Damage if HP less than 10%","+150% к урону если меньше 10% ОЗ "
"Forgot_to_buy_a_backpack","Forgot to buy a backpack","Забыл рюкзак "
"Forgot_to_buy_a_backpack_desc","I carry everything with me, says a well-known proverb. In your case, unfortunately, it doesn't work. You just do not have space to put everything. Carry it in your hands, then.","<Все своё ношу с собой> - гласит известная поговорка. В вашем случае, к сожалению, она не работает. Вам просто некуда это "своё" положить. Несите в руках, значит."
"Forgot_to_buy_a_backpack_brief_desc","Only one inventory slot","Один слот в инвентаре"
"Nudist","Nudist","Нудист"
"Nudist_desc","You have a great body! And you really want to show it! It is likely that the orcs will appreciate your back muscles, and maybe they will be interested in what is below...","У вас шикарное тело! И вы очень хотите этим похвастаться! Вполне вероятно, что орки оценят ваши широчайшие, а может их заинтересует то, что пониже..."
"Nudist_brief_desc","You can't wear any equipment, except weapons","Вы не можете использовать снаряжение, кроме оружия"
"Perfect_Vision","Perfect Vision","Идеальное зрение"
"Perfect_Vision_desc","You've never read in the dark, squinted, or tried on someone else's monocles, so you have excellent eyesight. Be proud of it.","Вы никогда не читали в темноте, не косили глаза и не примеряли чужие монокли, поэтому у вас отличное зрение. Гордитесь этим."
"Perfect_Vision_brief_desc","+10 Stamina","+10 ОВ"
"Pyromaniac","Pyromaniac","Пироманьяк"
"Pyromaniac_desc","When the Inpolis School of Magic burned, you watched and enjoyed it. When the Royalist fleet burned, you watched and enjoyed it. And even when your own house caught fire, you couldn't resist.","Когда горела Школа магии Инполиса -  вы смотрели и наслаждались. Когда горел флот роялистов - вы смотрели и наслаждались. И даже когда ваш собственный дом загорелся - вы не смогли устоять."
"Pyromaniac_brief_desc","Fire staves and equations deals 50% more damage","Огненные уравнения и посохи наносят на 50% больше урона "
"Restless","Restless","Вертлявый "
"Restless_desc","You flutter like a butterfly, sting like a bee. You are agile and fast. It doesn't matter what kind of armor you have, if they can't hit you, right?","Вы порхаете как бабочка, жалите как пчела. Вы ловки и быстры. Неважно какая у вас броня, если по вам не смогут попасть, правда?"
"Restless_brief_desc","Dodge chance increased by 50%","Шанс уворота выше на 50% "
"Retarded","Retarded","Заторможенный"
"Retarded_desc","Whole world moves faster than you. Very frequently it happens thatyou don't understand what's going on. You may not even have time to understand what killed you.","Весь мир движется быстрее вас и вы словно вязнете во времени. Очень часто случается что вы не понимаете, что происходит. Возможно, вы даже не успеете понять, что вас убьет."
"Retarded_brief_desc","Agility always 0","Ловкость всегда 0 "
"Runner","Runner","Гонец "
"Runner_desc","Ten express deliveres in an hour. Important papers from one side of the Inpolis to the other, every day. Municipality didn't buy a horse for you, so you were always walking by feet. Don't stop and it all will be in bag!","Десять доставок за час. Важный документ с одного конца Инполиса на другой, каждый день. Город не раскошелился вам на лошадь, так что вы постоянно ходили пешком. Не останавливайтесь, и дело будет в шляпе!"
